region,division,classification,position,status,item_status,year_created,number
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher II,Filled,Regular,2018,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher II,Filled,Regular,2023,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher II,Unfilled,Regular,2024,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher III,Filled,Regular,2004,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher III,Filled,Regular,2011,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher III,Unfilled,Regular,2010,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher III,Unfilled,Regular,2015,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher III,Unfilled,Regular,2019,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher III,Unfilled,Regular,2022,1
Negros Island Region (NIR),Division of Sipalay City,Teaching Personnel,Teacher IV,Unfilled,Regular,2026,1
Negros Island Region (NIR),Division of Sipalay City,School Head Personnel,Assistant School Principal II,Filled,Regular,2016,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Education Program Supervisor,Unfilled,Regular,2018,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2008,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Guidance Counselor I,Unfilled,Regular,2010,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2007,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2024,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,1998,1
Negros Island Region (NIR),Division of Sipalay City,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,1998,1
Negros Island Region (NIR),Division of Sipalay City,School Head Personnel,School Principal I,Unfilled,Regular,2010,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Accountant II,Unfilled,CTI,2000,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Accountant III,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Aide I,Filled,Regular,2004,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2004,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2004,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2005,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Aide VI,Unfilled,Regular,2005,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,2005,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2005,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2009,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2004,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2005,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2009,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2019,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2021,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2025,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2004,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Assistant Schools Division Superintendent,Unfilled,Regular,1998,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Attorney III,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Dentist II,Filled,Regular,2017,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Dentist II,Unfilled,Regular,1998,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Engineer III,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Farm Worker I,Filled,Regular,2002,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Legal Assistant I,Filled,Regular,2025,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Librarian II,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Medical Officer III,Unfilled,Regular,2017,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Planning Officer III,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Project Development Officer II,Unfilled,Regular,2015,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1998,1
Negros Island Region (NIR),Division of Siquijor,Security Personnel,Security Guard I,Filled,CTI,1998,1
Negros Island Region (NIR),Division of Siquijor,Security Personnel,Security Guard I,Filled,Regular,2002,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Master Teacher I,Filled,Regular,2002,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Master Teacher I,Filled,Regular,2008,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Master Teacher I,Filled,Regular,2013,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Master Teacher I,Filled,Regular,2014,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Master Teacher I,Filled,Regular,2016,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Master Teacher I,Filled,Regular,2021,1
